Timestamp,,How old are you?,What is your gender?,Do you buy lunch?  ,"If so, how much do you spend per week on lunch?",Where do you most often buy it from?,Why do you choose to buy lunch? Select all that apply,"If you bring lunch, why do you choose to do so? Select all that apply",How many days a week are you on campus on average?,How many hours a week are you on campus (average)?,Where do you travel to university from?,Do you work? ,"What is your weekly wage? Include allowances e.g. from parents, Youth Allowance",On a scale of 1-10 rate how healthy your diet is
07/04/2021 19:44:38,I agree,18,Female,Never,$0-9,Do not buy lunch,Do not buy lunch,Financial reasons (e.g. cheaper),2 days,5,Live on campus,Casual,$0-99,6
07/04/2021 19:49:43,I agree,18,Male,Sometimes,$10-19,Fast food outlets (e.g. McDonald’s),"Convenience, Enjoyment","Convenience, Financial reasons (e.g. cheaper)",2 days,10,Northern Beaches,Casual,$200-299,7
07/04/2021 20:02:23,I agree,18,Female,Most of the time,$20-29,"Kiosks (e.g. food trucks, stalls etc.)","Convenience, Enjoyment, Socialisation",Do not bring lunch,4 days,15,Inner West,Part time,$100-199,5
08/04/2021 08:03:11,I agree,18,Male,Sometimes,$10-19,Fast food outlets (e.g. McDonald’s),"Convenience, Enjoyment","Convenience, Financial reasons (e.g. cheaper)",2 days,10,Northern Beaches,Casual,$200-299,7
08/04/2021 10:46:24,I agree,19,Female,Most of the time,$10-19,Cafes,"Convenience, Enjoyment",Do not bring lunch,1 day,7,Western Sydney,Unemployed,$0-99,6
08/04/2021 10:52:16,I agree,18,Female,Sometimes,$20-29,Fast food outlets (e.g. McDonald’s),Convenience,Do not bring lunch,2 days,7,South Western Sydney,Part time,$300-399,3
08/04/2021 11:12:12,I agree,18,Female,Sometimes,$10-19,Fast food outlets (e.g. McDonald’s),Convenience,Personal preference,3 days,3,St George & Sutherland Shire,Unemployed,$0-99,6
08/04/2021 11:45:50,I agree,18,Female,Never,$0-9,Do not buy lunch,Do not buy lunch,Financial reasons (e.g. cheaper),2 days,5,Live on campus,Casual,$0-99,6
08/04/2021 12:35:24,I agree,18,Female,Sometimes,$10-19,Fast food outlets (e.g. McDonald’s),Convenience,Personal preference,3 days,3,St George & Sutherland Shire,Unemployed,$0-99,6
08/04/2021 15:33:30,I agree,19,Female,Sometimes,$20-29,Cafes,"Convenience, Socialisation","Health, Personal preference, Financial reasons (e.g. cheaper)",2 days,8,Inner City,Unemployed,$500+,9
